"Model","Train F1","Test F1","Fit Assessment"
"XGBoost_Tuned","0.9629","0.9569","Just right"
"GradientBoosting_Tuned","0.9656","0.9565","Just right"
"RandomForest","0.9953","0.9562","Slight overfit"
"GradientBoosting_Tuned+SMOTE","0.9682","0.9560","Just right"
"RandomForest_Weighted+SMOTE","0.9964","0.9550","Slight overfit"
"RandomForest+SMOTE","0.9964","0.9550","Slight overfit"
"XGBoost_Tuned+SMOTE","0.9632","0.9550","Just right"
"RandomForest_Weighted","0.9960","0.9541","Slight overfit"
"MLP_Tuned","1.0000","0.9469","Mild overfit"
"MLP+SMOTE","0.9988","0.9461","Mild overfit"
"MLP","1.0000","0.9457","Mild overfit"
"MLP_Tuned+SMOTE","1.0000","0.9455","Mild overfit"
"GradientBoosting","0.9435","0.9423","Just right"
"XGBoost","0.9421","0.9421","Just right"
"GradientBoosting+SMOTE","0.9478","0.9420","Just right"
"XGBoost+SMOTE","0.9462","0.9409","Just right"
